id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C48310211812875810,SF11E328805,48.288,-102.502,-5.0,,WF,20190530,,,,858608.6041939999,0.034352,0.040536,0.396254,4.822774,0.019448,0.006508,0.003055,0.093559,0.005659,8.311941395153017,1.8707461242087258,1.2465903914381506,,6.988140175,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,21.0,5.0,8.0,ND,,
SF11C48310311812875810,SF11E328906,48.576,-102.241,-5.0,,WF,20190530,,,,2251607.671602,0.04212,0.049702,0.415414,9.544689,0.022101,0.00698,0.00567,0.100336,0.014001,10.943222803471713,5.7857142284877945,,,6.988140175,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,21.0,5.0,8.0,ND,,
SF11C48310411812875810,SF11E328881,48.962,-102.352,-5.0,,WF,20190530,,,,791537.3173280001,0.036715,0.043324,0.431198,4.757943,0.020976,0.007065,0.003055,0.101564,0.005277,9.122978836229004,1.6181095109266515,1.4992270047202247,,6.988140175,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,21.0,5.0,8.0,ND,,
SF11C48310511812875810,SF11E328785,32.302,-97.282,-5.0,,WF,20190530,,,,3044807690.2600055,9.01142,10.633476,88.876371,2042.052228,4.72852,1.493321,1.213076,21.466491,2.995555,1331.669594192465,1237.832449643403,,,143.7955633,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,TX,,
SF11C48310611812875810,SF11E328873,29.768,-98.956,-5.0,,WF,20190530,,,,175592894.07968402,0.555303,0.655257,5.476751,125.835596,0.291381,0.092022,0.074752,1.322811,0.184592,134.02442709213148,76.27789992087511,,,71.89778166,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,6.0,19.0,5.0,8.0,TX,,
SF11C48310711812875810,SF11E327587,32.36,-103.842,-6.0,,WF,20190530,,,,186048345.90344203,1.198576,1.41432,13.81586,168.769026,0.678301,0.226946,0.106855,3.262354,0.198421,289.8503719965661,65.75173991900107,43.284296209722775,,114.8619943,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,NM,,
SF11C48310811812875810,SF11E328889,31.848,-101.82,-5.0,,WF,20190530,,,,335819813.2302259,0.993735,1.172608,9.800851,225.187528,0.521438,0.164676,0.133772,2.36722,0.330335,236.52124148049035,136.50205489811557,,,143.7955633,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,6.0,20.0,5.0,8.0,TX,,
SF11C48310911812875810,SF11E328789,31.649,-97.068,-5.0,,WF,20190530,,,,215076485.87561196,0.680167,0.802597,6.708239,154.130669,0.356901,0.112713,0.091561,1.620255,0.226099,134.35445674716968,93.42949859155546,,,71.89778166,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,TX,,
SF11C48311011812875810,SF11E328911,33.416,-81.9,-4.0,,WF,20190530,,,,180187792.547718,0.915456,1.080238,10.354976,139.079362,0.51319,0.170536,0.087007,2.45145,0.171342,220.14207956178942,60.00551593562521,28.776845335896063,,199.023616,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,SC,,
SF11C48311111812875810,SF11E323721,39.748,-122.277,-7.0,,WF,20190530,,,,782619414.443921,2.381285,2.809916,23.48575,539.616182,1.24952,0.394613,0.320558,5.672561,0.791581,376.77636799206476,327.09961758588736,,,93.99888693,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,CA,,
SF11C48311211812875810,SF11E328804,37.037,-120.948,-7.0,,WF,20190530,,,,355499121.8490451,1.09584,1.293091,10.85138,246.082348,0.576092,0.182214,0.146328,2.619328,0.359914,229.61711931041074,148.37077420360427,0.943985043980055,,93.99888693,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,CA,,
SF11C48311311812875810,SF11E328928,46.096,-94.354,-5.0,,WF,20190530,,,,397392949.7945561,1.185862,1.399317,11.695722,268.724692,0.622252,0.196514,0.159635,2.824892,0.394201,221.76647926475113,162.89313205532557,,,131.9765129,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,MN,,
